MaterialId,Stability,Mean_Importance,Max_Importance,Min_Importance
000006a8c4,-0.1625,0.25819888710975647,1.5491933822631836,0.0
00006650ea,-0.0198,0.42320507764816284,2.0,0.0
00008f2ec4,-0.0602,0.27320507168769836,1.3856406211853027,0.0
0000a1b980,-0.0379,0.8905694484710693,1.2649110555648804,0.0
00011f62be,-0.0137,0.18027757108211517,1.4422205686569214,0.0
00012feb99,-0.1194,0.0,0.0,0.0
0001759321,-0.0302,0.45866578817367554,2.2271058559417725,0.0
0001803dde,-0.0053,0.25980761647224426,2.078460931777954,0.0
000195ca16,-0.0231,0.25495097041130066,2.0396077632904053,0.0
00019facb3,-0.027,0.5288122892379761,2.190890312194824,0.0
